Title,Year,Rated,Genre,Actors,Plot,Language,Country,imdbID,BoxOffice,Production
Louis C.K. 2017,2017,TV-MA,Comedy,Louis C.K.,"Louis C.K. muses on religion, eternal love, giving dogs drugs, email fights, teachers, and more in a live performance from Washington D.C.",English,USA,tt6736782,N/A,N/A
1922,2017,TV-MA,"Crime, Drama, Horror, Mystery, Thriller","Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard","A simple yet proud farmer in the year 1922 conspires to murder his wife for financial gain, convincing his teenage son to assist. But their actions have unintended consequences.",English,"USA, Canada",tt6214928,N/A,N/A
Hancock,2008,PG-13,"Action, Drama, Fantasy","Will Smith, Charlize Theron, Jason Bateman, Jae Head",Hancock is a superhero whose ill-considered behavior regularly causes damage in the millions. He changes when the person he saves helps him improve his public image.,"English, Japanese, Vietnamese",USA,tt0448157,"$227,946,274","Weed Road Pictures, Blue Light, Overbrook Entertainment"
"Hail, Caesar!",2016,PG-13,"Comedy, Drama, Music, Mystery","Josh Brolin, George Clooney, Alden Ehrenreich, Ralph Fiennes",A Hollywood fixer in the 1950s works to keep the studio's stars in line.,English,"USA, UK, Japan",tt0475290,"$30,498,085",Working Title Films
The Pixar Story,2007,G,Documentary,"Stacy Keach, John Lasseter, Brad Bird, John Musker",The Pixar Story takes audiences behind the scenes of the groundbreaking company that pioneered a new generation of animation and forever changed the face of filmmaking.,English,USA,tt1059955,N/A,Leslie Iwerks Productions
Child's Play,1988,R,"Fantasy, Horror, Thriller","Catherine Hicks, Chris Sarandon, Alex Vincent, Brad Dourif","A single mother gives her son a much sought-after doll for his birthday, only to discover that it is possessed by the soul of a serial killer.",English,USA,tt0094862,"$33,244,684",United Artists
The Angry Birds Movie 2,2019,PG,"Animation, Adventure, Comedy, Family","Jason Sudeikis, Josh Gad, Leslie Jones, Bill Hader",The flightless birds and scheming green pigs take their feud to the next level.,English,"Finland, USA, UK, Canada",tt6095472,"$41,667,116","Columbia Pictures, Sony Pictures Animation"
Obvious Child,2014,R,"Comedy, Drama, Romance","Jenny Slate, Paul Briganti, Gaby Hoffmann, Stephen Singer",A twenty-something comedienne's unplanned pregnancy forces her to confront the realities of independent womanhood for the first time.,English,USA,tt2910274,"$3,123,963","Rooks Nest Entertainment, Sundial Pictures"
American Honey,2016,R,"Adventure, Drama, Romance","Sasha Lane, Shia LaBeouf, Riley Keough, McCaul Lombardi","A teenage girl with nothing to lose joins a traveling magazine sales crew, and gets caught up in a whirlwind of hard partying, law bending and young love as she criss-crosses the Midwest with a band of misfits.",English,"UK, USA",tt3721936,"$663,246","Parts &amp; Labor, Pulse Films"
Udta Punjab,2016,Not Rated,"Action, Crime, Drama","Shahid Kapoor, Alia Bhatt, Kareena Kapoor, Diljit Dosanjh",A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.,Hindi,India,tt4434004,N/A,"Balaji Motion Pictures, Phantom Films"
Den of Thieves,2018,R,"Action, Crime, Drama, Thriller","Gerard Butler, Pablo Schreiber, O'Shea Jackson Jr., 50 Cent",An elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew clash as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.,"English, Polynesian, Spanish",USA,tt1259528,"$44,947,622","G-BASE, Diamond Film Productions, Tucker Tooley Entertainment"
